#======= TRAJECTORY BEGIN: 
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Trajectory source: Pathweaver
#--------Trajectory orientation: Robot Relative
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    2.30000,    0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.27870,    0.64100,    2.30000,    0.08929,   -0.00247,   -0.06593,   -0.84247,Segment:  2
   0.36055,    0.82926,    2.30000,    0.14922,   -0.00779,   -0.10871,   -0.59307,Segment:  3
   0.44086,    1.01397,    2.30000,    0.22263,   -0.01725,   -0.14545,   -0.42125,Segment:  4
   0.52016,    1.19637,    2.30000,    0.30912,   -0.03141,   -0.17791,   -0.33296,Segment:  5
   0.59741,    1.37405,    2.30000,    0.40655,   -0.05052,   -0.20894,   -0.30000,Segment:  6
   0.67120,    1.54377,    2.30000,    0.51149,   -0.07455,   -0.24128,   -0.30680,Segment:  7
   0.74014,    1.70233,    0.93582,    0.61965,   -0.10321,   -0.27773,   -0.35141,Segment:  8
   0.80458,    1.76263,   -2.30000,    0.72633,   -0.13607,   -0.32160,   -0.44465,Segment:  9
   0.86789,    1.61701,   -2.30000,    0.82691,   -0.17255,   -0.37728,   -0.61405,Segment:  10
   0.93174,    1.47016,   -2.30000,    0.91723,   -0.21199,   -0.45091,   -0.91252,Segment:  11
   0.96328,    1.39761,   -2.30000,    0.95749,   -0.23260,   -0.49695,   -1.13516,Segment:  12
   0.99429,    1.32629,   -2.30000,    0.99408,   -0.25368,   -0.55063,   -1.42133,Segment:  13
   1.02461,    1.25654,   -2.30000,    1.02683,   -0.27516,   -0.61293,   -1.77553,Segment:  14
   1.05418,    1.18855,   -2.30000,    1.05565,   -0.29696,   -0.68428,   -2.18363,Segment:  15
   1.08301,    1.12224,   -1.92831,    1.08063,   -0.31900,   -0.76388,   -2.59313,Segment:  16
   1.11113,    1.06801,   -1.70703,    1.10197,   -0.34121,   -0.84881,   -2.89313,Segment:  17
   1.13862,    1.02109,   -2.30000,    1.12002,   -0.36354,   -0.93311,   -2.91579,Segment:  18
   1.16603,    0.95804,   -2.30000,    1.13532,   -0.38593,   -1.00760,   -2.48424,Segment:  19
   1.22388,    0.82499,   -2.30000,    1.16076,   -0.43080,   -1.08084,   -0.00000,Segment:  20
   1.25596,    0.75120,   -2.30000,    1.17245,   -0.45322,   -1.10903,   -2.22456,Segment:  21
   1.29039,    0.67201,   -2.30000,    1.18255,   -0.47554,   -1.19193,   -4.61942,Segment:  22
   1.30852,    0.63032,   -2.30000,    1.18659,   -0.48663,   -1.25431,   -5.97180,Segment:  23
   1.32738,    0.58694,   -2.30000,    1.18976,   -0.49766,   -1.33103,   -7.40661,Segment:  24
