#======= TRAJECTORY BEGIN: 
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Trajectory source: Pathweaver
#--------Trajectory orientation: Robot Relative
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.80000,    0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.39459,    0.31567,    0.80000,    0.06226,   -0.00139,   -0.06510,   -1.98337,Segment:  2
   0.48253,    0.38602,    0.80000,    0.09296,   -0.00446,   -0.13831,   -2.73239,Segment:  3
   0.52083,    0.41666,   -0.38919,    0.10814,   -0.00691,   -0.18270,   -3.03531,Segment:  4
   0.55834,    0.40206,   -0.27984,    0.12317,   -0.01006,   -0.23129,   -3.28142,Segment:  5
   0.59711,    0.39121,   -0.16478,    0.13804,   -0.01397,   -0.28324,   -3.46434,Segment:  6
   0.63688,    0.38466,   -0.06458,    0.15273,   -0.01868,   -0.33769,   -3.57987,Segment:  7
   0.67739,    0.38204,    0.02443,    0.16723,   -0.02424,   -0.39373,   -3.62707,Segment:  8
   0.71834,    0.38304,    0.10431,    0.18153,   -0.03065,   -0.45051,   -3.60894,Segment:  9
   0.75950,    0.38733,    0.17610,    0.19560,   -0.03796,   -0.50719,   -3.53220,Segment:  10
   0.80063,    0.39458,    0.24005,    0.20943,   -0.04616,   -0.56304,   -3.40649,Segment:  11
   0.84156,    0.40440,    0.29597,    0.22301,   -0.05527,   -0.61745,   -3.24318,Segment:  12
   0.88214,    0.41641,    0.34340,    0.23633,   -0.06526,   -0.66992,   -3.05402,Segment:  13
   0.92227,    0.43019,    0.38189,    0.24937,   -0.07615,   -0.72008,   -2.84997,Segment:  14
   0.96189,    0.44532,    0.42134,    0.26213,   -0.08790,   -0.76769,   -2.64050,Segment:  15
   1.03944,    0.47800,    0.44379,    0.28675,   -0.11389,   -0.85482,   -2.23339,Segment:  16
   1.11485,    0.51146,    0.43560,    0.31011,   -0.14297,   -0.93117,   -1.87033,Segment:  17
   1.18827,    0.54344,    0.40549,    0.33215,   -0.17481,   -0.99748,   -1.56516,Segment:  18
   1.25986,    0.57248,    0.36265,    0.35282,   -0.20900,   -1.05486,   -1.31766,Segment:  19
   1.32973,    0.59781,    0.29011,    0.37208,   -0.24506,   -1.10455,   -1.12129,Segment:  20
   1.46430,    0.63685,    0.19620,    0.40625,   -0.32078,   -1.18544,   -0.84932,Segment:  21
   1.59051,    0.66162,   -0.17810,    0.43458,   -0.39767,   -1.24805,   -0.69344,Segment:  22
   1.70893,    0.64053,   -0.80000,    0.45715,   -0.47139,   -1.29829,   -0.62119,Segment:  23
   1.93923,    0.45629,   -0.80000,    0.48633,   -0.59427,   -1.37928,   -0.74275,Segment:  24
   2.14306,    0.29322,   -0.80000,    0.49817,   -0.66974,   -1.46592,   -2.10798,Segment:  25
   2.22176,    0.23026,   -0.80000,    0.49976,   -0.69028,   -1.52762,   -4.04766,Segment:  26
   2.28969,    0.17592,   -0.80000,    0.50000,   -0.70407,   -1.57080,    0.00000,Segment:  27
   2.32887,    0.14458,   -0.80000,    0.49991,   -0.71035,   -1.61424,  -13.11939,Segment:  28
   2.35252,    0.12565,   -0.57040,    0.49969,   -0.71354,   -1.66407,  -17.79281,Segment:  29
   2.38031,    0.10980,   -0.18127,    0.49929,   -0.71678,   -1.72776,  -20.83938,Segment:  30
   2.41192,    0.10407,    0.02961,    0.49864,   -0.72010,   -1.80096,  -22.16935,Segment:  31
   2.44568,    0.10507,    0.18702,    0.49770,   -0.72350,   -1.87923,  -21.92689,Segment:  32
   2.48007,    0.11150,    0.33672,    0.49643,   -0.72700,   -1.95847,  -20.47107,Segment:  33
   2.51387,    0.12289,    0.49902,    0.49479,   -0.73061,   -2.03535,  -18.26764,Segment:  34
   2.54628,    0.13906,    0.68231,    0.49275,   -0.73433,   -2.10756,  -15.75765,Segment:  35
   2.57684,    0.15991,    0.80000,    0.49028,   -0.73817,   -2.17374,  -13.27083,Segment:  36
   2.60559,    0.18291,    0.80000,    0.48736,   -0.74215,   -2.23338,  -11.00417,Segment:  37
   2.63302,    0.20486,    0.80000,    0.48397,   -0.74625,   -2.28649,   -9.04469,Segment:  38
   2.65964,    0.22615,    0.80000,    0.48011,   -0.75048,   -2.33347,   -7.40694,Segment:  39
   2.68573,    0.24702,    0.80000,    0.47575,   -0.75485,   -2.37486,   -6.06636,Segment:  40
   2.73698,    0.28802,    0.80000,    0.46553,   -0.76400,   -2.44336,   -4.11038,Segment:  41
   2.78750,    0.32844,    0.80000,    0.45333,   -0.77367,   -2.49665,   -2.84840,Segment:  42
   2.83752,    0.36846,    0.80000,    0.43917,   -0.78384,   -2.53852,   -2.02820,Segment:  43
   2.93583,    0.44711,    0.80000,    0.40542,   -0.80547,   -2.59873,   -1.11724,Segment:  44
   3.12093,    0.59518,    0.80000,    0.32094,   -0.85203,   -2.66671,   -0.45115,Segment:  45
   3.28139,    0.72355,    0.33994,    0.22593,   -0.89860,   -2.70139,   -0.23820,Segment:  46
   3.41465,    0.76885,    0.22300,    0.13556,   -0.94007,   -2.71970,   -0.13431,Segment:  47
   3.52012,    0.79237,   -0.11588,    0.06030,   -0.97346,   -2.72687,   -0.03192,Segment:  48
   3.60378,    0.78268,   -0.80000,    0.00000,   -1.00000,   -2.72666,   -0.00000,Segment:  49
   3.69215,    0.71198,   -0.27113,   -0.06030,   -1.02692,   -2.71204,    0.40986,Segment:  50
   3.81227,    0.67941,   -0.18321,   -0.13556,   -1.06327,   -2.66895,    0.58844,Segment:  51
   3.96757,    0.65096,   -0.25819,   -0.22593,   -1.11330,   -2.60004,    0.75907,Segment:  52
   4.05609,    0.62810,   -0.33416,   -0.27377,   -1.14358,   -2.55313,    0.90733,Segment:  53
   4.15052,    0.59655,   -0.41673,   -0.32094,   -1.17702,   -2.49463,    1.13070,Segment:  54
   4.25014,    0.55503,   -0.47187,   -0.36546,   -1.21319,   -2.42087,    1.46325,Segment:  55
   4.30178,    0.53067,   -0.49632,   -0.38612,   -1.23214,   -2.37687,    1.68268,Segment:  56
   4.35470,    0.50440,   -0.50453,   -0.40542,   -1.25157,   -2.32733,    1.94291,Segment:  57
   4.40894,    0.47704,   -0.49089,   -0.42316,   -1.27142,   -2.27170,    2.24457,Segment:  58
   4.46455,    0.44974,   -0.45100,   -0.43917,   -1.29160,   -2.20960,    2.58203,Segment:  59
   4.52150,    0.42405,   -0.38245,   -0.45333,   -1.31207,   -2.14093,    2.93925,Segment:  60
